node_id,deg_in,deg_out,deg_total
662,5,27,32
663,16,67,83
664,1,56,57
665,15,3,18
666,26,21,47
667,28,64,92
668,13,41,54
669,1,1,2
670,1,13,14
671,1,1,2
672,2,22,24
673,18,4,22
674,2,54,56
675,1,39,40
676,17,55,72
677,24,155,179
678,2,20,22
679,1,3,4
680,2,3,5
681,2,3,5
682,2,3,5
683,2,3,5
684,1,1,2
685,3,3,6
686,50,1,51
687,0,1,1
688,4,14,18
689,4,3,7
690,1,2,3
691,5,5,10
692,1,19,20
693,2,11,13
694,1,1,2
695,2,2,4
696,2,2,4
697,1,1,2
698,1,1,2
699,1,2,3
700,1,1,2
701,4,3,7
702,1,2,3
703,2,3,5
704,2,4,6
705,1,16,17
706,2,3,5
707,1,2,3
708,1,1,2
709,1,1,2
710,1,2,3
711,2,3,5
712,1,19,20
713,11,2,13
714,1,2,3
715,1,18,19
716,36,2,38
717,2,3,5
718,1,8,9
719,9,1,10
720,1,2,3
721,13,12,25
722,1,2,3
723,1,20,21
724,3,15,18
725,10,16,26
726,16,91,107
727,11,78,89
728,18,29,47
729,23,65,88
730,24,99,123
731,30,42,72
732,15,70,85
733,16,53,69
734,26,88,114
735,22,52,74
736,20,116,136
737,15,68,83
738,26,64,90
739,13,85,98
740,0,2,2
741,1,1,2
742,2,9,11
743,15,28,43
744,15,54,69
745,2,15,17
746,0,1,1
747,10,1,11
748,2,11,13
749,1,1,2
750,29,30,59
751,10,44,54
752,13,58,71
753,14,7,21
754,2,10,12
755,18,20,38
756,18,101,119
757,15,41,56
758,22,20,42
759,2,20,22
760,17,44,61
761,15,58,73
762,21,29,50
763,12,75,87
764,1,14,15
765,7,24,31
766,13,82,95
767,12,8,20
768,2,11,13
769,2,3,5
770,1,22,23
771,14,51,65
772,24,95,119
773,3,11,14
774,1,1,2
775,2,14,16
776,2,98,100
777,2,1,3
778,1,17,18
779,0,1,1
780,4,27,31
781,11,55,66
782,11,84,95
783,16,17,33
784,21,30,51
785,16,104,120
786,9,3,12
787,19,28,47
788,39,104,143
789,1,1,2
790,13,9,22
791,28,46,74
792,13,81,94
793,17,96,113
794,29,45,74
795,1,13,14
796,20,46,66
797,16,61,77
798,7,66,73
799,4,38,42
800,10,33,43
801,14,25,39
802,17,10,27
803,13,5,18
804,1,38,39
805,1,6,7
806,4,9,13
807,3,15,18
808,1,19,20
809,1,40,41
810,14,14,28
811,14,14,28
812,0,1,1
813,2,4,6
814,1,1,2
815,3,2,5
816,2,2,4
817,1,1,2
818,1,2,3
819,3,4,7
820,2,2,4
821,3,2,5
822,2,20,22
823,1,1,2
824,1,1,2
825,1,1,2
826,1,1,2
827,1,2,3
828,1,26,27
829,1,1,2
830,1,1,2
831,2,2,4
832,1,1,2
833,22,2,24
834,1,47,48
835,5,22,27
836,4,2,6
837,1,20,21
838,17,70,87
839,1,1,2
840,2,2,4
841,10,2,12
842,0,44,44
843,2,2,4
844,4,2,6
845,3,2,5
846,1,52,53
847,39,35,74
848,2,2,4
849,1,64,65
850,5,1,6
851,15,14,29
852,2,2,4
853,14,49,63
854,20,69,89
855,15,62,77
856,1,1,2
857,1,1,2
858,17,34,51
859,2,52,54
860,11,55,66
861,15,85,100
862,14,63,77
863,17,61,78
864,2,57,59
865,30,20,50
866,26,43,69
867,12,70,82
868,19,45,64
869,11,91,102
870,22,82,104
871,29,88,117
872,21,25,46
873,1,14,15
874,8,13,21
875,6,59,65
876,16,60,76
877,13,56,69
878,14,35,49
879,4,39,43
880,8,15,23
881,16,42,58
882,1,1,2
883,1,2,3
884,4,4,8
885,1,48,49
886,2,3,5
887,1,5,6
888,3,3,6
889,14,3,17
890,2,3,5
891,2,7,9
892,1,3,4
893,1,1,2
894,2,3,5
895,1,1,2
896,1,2,3
897,1,2,3
898,2,3,5
899,1,1,2
900,22,1,23
901,1,2,3
902,1,12,13
903,31,1,32
904,13,47,60
905,12,2,14
906,1,2,3
907,2,3,5
908,16,75,91
909,1,2,3
910,13,6,19
911,6,3,9
912,1,4,5
913,3,5,8
914,1,1,2
915,32,53,85
916,23,53,76
917,1,1,2
918,13,57,70
919,15,24,39
920,16,33,49
921,19,87,106
922,2,26,28
923,2,2,4
924,12,46,58
925,2,47,49
926,19,27,46
927,0,1,1
928,15,56,71
929,4,10,14
930,2,10,12
931,0,1,1
932,1,1,2
933,4,3,7
934,3,2,5
935,22,70,92
936,18,85,103
937,10,33,43
938,18,92,110
939,18,37,55
940,6,18,24
941,29,112,141
942,2,7,9
943,12,28,40
944,1,42,43
945,29,1,30
946,19,67,86
947,33,85,118
948,15,62,77
949,30,8,38
950,2,2,4
951,2,32,34
952,1,13,14
953,1,5,6
954,1,7,8
955,3,18,21
956,0,1,1
957,15,17,32
958,16,64,80
959,22,59,81
960,18,48,66
961,21,58,79
962,17,106,123
963,3,10,13
964,1,1,2
965,10,39,49
966,4,40,44
967,1,80,81
968,31,4,35
969,3,11,14
970,5,11,16
971,19,63,82
972,16,45,61
973,40,60,100
974,29,61,90
975,11,1,12
976,1,18,19
977,6,6,12
978,1,1,2
979,1,1,2
980,3,26,29
981,13,5,18
982,9,75,84
983,3,2,5
984,11,79,90
985,17,34,51
986,16,46,62
987,21,68,89
988,11,113,124
989,22,73,95
990,15,6,21
991,10,1,11
992,1,1,2
993,24,17,41
994,11,20,31
995,4,51,55
996,0,1,1
997,1,0,1
998,15,57,72
999,5,16,21
1000,19,73,92
1001,19,51,70
1002,11,45,56
1003,1,22,23
1004,1,1,2
1005,2,14,16
1006,3,5,8
1007,2,34,36
1008,1,1,2
1009,1,1,2
1010,1,1,2
1011,2,3,5
1012,10,13,23
1013,16,31,47
1014,4,121,125
1015,12,10,22
1016,3,1,4
1017,11,16,27
1018,17,42,59
1019,3,12,15
1020,1,1,2
1021,1,1,2
1022,3,1,4
1023,1,1,2
1024,4,6,10
1025,1,92,93
1026,12,31,43
1027,61,75,136
1028,1,8,9
1029,14,43,57
1030,16,67,83
1031,16,38,54
1032,23,23,46
1033,17,52,69
1034,19,80,99
1035,2,27,29
1036,15,9,24
1037,18,76,94
1038,1,1,2
1039,10,9,19
1040,3,10,13
1041,3,1,4
1042,1,1,2
1043,2,2,4
1044,2,2,4
1045,1,1,2
1046,1,1,2
1047,1,1,2
1048,2,14,16
1049,3,2,5
1050,2,1,3
1051,1,1,2
1052,1,13,14
1053,1,1,2
1054,2,1,3
1055,19,73,92
1056,7,21,28
1057,1,46,47
1058,12,15,27
1059,9,27,36
1060,12,4,16
1061,0,1,1
1062,2,2,4
1063,3,3,6
1064,1,7,8
1065,1,34,35
1066,13,2,15
1067,3,43,46
1068,24,0,24
1069,3,3,6
1070,1,2,3
1071,1,34,35
1072,24,29,53
1073,4,48,52
1074,1,92,93
1075,13,3,16
1076,16,45,61
1077,20,63,83
1078,0,1,1
1079,1,1,2
1080,0,2,2
1081,14,100,114
1082,6,151,157
1083,31,78,109
1084,8,5,13
1085,1,28,29
1086,0,2,2
1087,2,10,12
1088,4,12,16
1089,17,35,52
1090,1,1,2
1091,5,5,10
1092,10,44,54
1093,16,80,96
1094,2,15,17
1095,0,1,1
1096,1,0,1
1097,1,1,2
1098,1,1,2
1099,2,26,28
1100,1,9,10
1101,3,10,13
1102,2,14,16
1103,2,1,3
1104,3,96,99
1105,11,19,30
1106,3,2,5
1107,5,2,7
1108,13,50,63
1109,0,1,1
1110,22,77,99
1111,4,3,7
1112,1,1,2
1113,22,52,74
1114,3,9,12
1115,11,25,36
1116,3,11,14
1117,22,49,71
1118,17,123,140
1119,18,73,91
1120,9,1,10
1121,4,2,6
1122,1,33,34
1123,7,25,32
1124,1,9,10
1125,22,40,62
1126,24,53,77
1127,10,46,56
1128,7,4,11
1129,2,4,6
1130,4,34,38
1131,15,57,72
1132,10,66,76
1133,16,122,138
1134,16,52,68
1135,11,105,116
1136,14,48,62
1137,2,30,32
1138,1,49,50
1139,18,95,113
1140,13,40,53
1141,17,39,56
1142,1,1,2
1143,0,2,2
1144,4,1,5
1145,2,2,4
1146,3,4,7
1147,1,36,37
1148,0,2,2
1149,4,1,5
1150,1,1,2
1151,1,1,2
1152,11,1,12
1153,26,3,29
1154,1,46,47
1155,29,9,38
1156,1,13,14
1157,10,38,48
1158,18,8,26
1159,13,62,75
1160,14,41,55
1161,23,42,65
1162,1,1,2
1163,21,9,30
1164,0,1,1
1165,2,4,6
1166,1,1,2
1167,3,5,8
1168,1,4,5
1169,1,1,2
1170,2,5,7
1171,1,4,5
1172,1,4,5
1173,1,1,2
1174,2,5,7
1175,1,4,5
1176,3,5,8
1177,3,5,8
1178,1,1,2
1179,3,5,8
1180,3,4,7
1181,1,4,5
1182,1,19,20
1183,2,5,7
1184,2,5,7
1185,1,1,2
1186,2,5,7
1187,2,5,7
1188,2,6,8
1189,2,5,7
1190,3,6,9
1191,2,5,7
1192,1,1,2
1193,2,9,11
1194,2,5,7
1195,2,4,6
1196,1,8,9
1197,1,4,5
1198,1,1,2
1199,1,1,2
1200,1,5,6
1201,2,5,7
1202,0,2,2
1203,1,4,5
1204,1,4,5
1205,3,4,7
1206,1,4,5
1207,1,1,2
1208,2,5,7
1209,3,5,8
1210,3,5,8
1211,1,17,18
1212,1,1,2
1213,2,5,7
1214,2,5,7
1215,3,4,7
1216,37,0,37
1217,2,5,7
1218,1,4,5
1219,1,30,31
1220,20,0,20
1221,2,4,6
1222,1,4,5
1223,2,5,7
1224,1,4,5
1225,18,2,20
1226,2,5,7
1227,1,4,5
1228,6,9,15
1229,13,11,24
1230,5,27,32
1231,1,53,54
1232,30,26,56
1233,18,111,129
1234,23,71,94
1235,2,5,7
1236,13,1,14
1237,2,2,4
1238,10,4,14
1239,1,1,2
1240,3,29,32
1241,6,14,20
1242,2,29,31
1243,13,33,46
1244,5,22,27
1245,3,15,18
1246,1,109,110
1247,30,9,39
1248,14,35,49
1249,9,108,117
1250,18,37,55
1251,13,17,30
1252,1,1,2
1253,23,61,84
1254,1,1,2
1255,1,69,70
1256,24,17,41
1257,21,66,87
1258,14,24,38
1259,2,22,24
1260,3,11,14
1261,16,81,97
1262,5,24,29
1263,3,34,37
1264,14,47,61
1265,16,27,43
1266,1,17,18
1267,8,18,26
1268,12,52,64
1269,15,14,29
1270,15,46,61
1271,0,1,1
1272,1,0,1
1273,9,40,49
1274,6,8,14
1275,17,35,52
1276,19,51,70
1277,23,37,60
1278,8,41,49
1279,25,63,88
1280,3,30,33
1281,5,4,9
1282,1,1,2
1283,40,36,76
1284,12,63,75
1285,12,39,51
1286,2,14,16
1287,9,37,46
1288,44,66,110
1289,4,49,53
1290,1,9,10
1291,27,66,93
1292,17,43,60
1293,16,22,38
1294,16,50,66
1295,3,10,13
1296,12,106,118
1297,11,77,88
1298,13,24,37
1299,11,36,47
1300,0,1,1
1301,13,30,43
1302,22,54,76
1303,9,13,22
1304,13,68,81
1305,5,2,7
1306,1,2,3
1307,9,12,21
1308,12,28,40
1309,12,51,63
1310,11,39,50
1311,10,6,16
1312,14,42,56
1313,7,24,31
1314,18,85,103
1315,20,60,80
1316,10,33,43
1317,13,17,30
1318,1,1,2
1319,2,47,49
1320,1,26,27
1321,0,1,1
1322,2,10,12
1323,1,1,2
1324,2,27,29
1325,17,6,23
1326,0,69,69
1327,12,13,25
1328,35,106,141
1329,7,1,8
1330,1,10,11
1331,3,62,65
1332,33,2,35
1333,1,39,40
1334,16,1,17
1335,14,55,69
1336,11,33,44
1337,2,18,20
1338,1,1,2
1339,3,27,30
1340,19,58,77
1341,27,33,60
1342,13,73,86
1343,10,31,41
1344,18,115,133
1345,18,21,39
1346,1,1,2
1347,16,76,92
1348,15,83,98
1349,18,42,60
1350,20,51,71
1351,15,57,72
1352,16,70,86
1353,0,1,1
1354,18,64,82
1355,12,52,64
1356,15,36,51
1357,6,95,101
1358,18,50,68
1359,23,2,25
1360,1,17,18
1361,10,77,87
1362,3,21,24
1363,1,30,31
1364,1,1,2
1365,14,62,76
1366,18,53,71
1367,13,1,14
1368,2,1,3
1369,23,16,39
1370,1,1,2
1371,17,37,54
1372,18,74,92
1373,24,24,48
1374,16,61,77
1375,15,30,45
1376,1,1,2
1377,4,22,26
1378,27,94,121
1379,29,50,79
1380,16,27,43
1381,10,38,48
1382,18,4,22
1383,6,1,7
1384,1,1,2
1385,1,9,10
1386,1,1,2
1387,2,14,16
1388,2,38,40
1389,1,11,12
1390,10,53,63
1391,15,48,63
1392,14,83,97
1393,9,52,61
1394,11,115,126
1395,17,83,100
1396,15,16,31
1397,1,1,2
1398,1,13,14
1399,28,44,72
1400,17,73,90
1401,1,1,2
1402,22,66,88
1403,19,56,75
1404,14,85,99
1405,15,47,62
1406,2,2,4
1407,16,1,17
1408,26,77,103
1409,8,27,35
1410,19,54,73
1411,1,1,2
1412,1,1,2
1413,13,2,15
1414,7,72,79
1415,2,2,4
1416,4,1,5
1417,3,1,4
1418,1,1,2
1419,2,4,6
1420,4,5,9
1421,2,1,3
1422,2,2,4
1423,3,10,13
1424,24,2,26
1425,0,99,99
1426,17,1,18
1427,3,1,4
1428,2,23,25
1429,1,1,2
1430,30,92,122
1431,1,1,2
1432,2,43,45
1433,14,28,42
1434,2,66,68
1435,15,42,57
1436,1,50,51
1437,13,0,13
1438,2,2,4
1439,1,1,2
1440,1,1,2
1441,0,1,1
1442,1,6,7
1443,1,1,2
1444,3,13,16
1445,1,1,2
1446,12,10,22
1447,0,1,1
1448,2,3,5
1449,2,2,4
1450,8,54,62
1451,13,33,46
1452,13,37,50
1453,14,21,35
1454,15,23,38
1455,21,43,64
1456,2,2,4
1457,16,52,68
1458,13,56,69
1459,17,73,90
1460,0,1,1
1461,3,2,5
1462,4,2,6
1463,1,1,2
1464,1,2,3
1465,1,8,9
1466,0,1,1
1467,1,0,1
1468,4,2,6
1469,2,2,4
1470,1,14,15
1471,9,34,43
1472,0,2,2
1473,1,0,1
1474,2,3,5
1475,3,2,5
1476,1,1,2
1477,1,1,2
1478,1,3,4
1479,0,1,1
1480,2,1,3
1481,1,1,2
1482,1,1,2
1483,2,1,3
1484,2,2,4
1485,1,1,2
1486,1,1,2
1487,2,2,4
1488,2,2,4
1489,1,1,2
1490,1,1,2
1491,1,2,3
1492,28,35,63
1493,1,6,7
1494,17,2,19
1495,36,38,74
1496,2,2,4
1497,3,2,5
1498,1,14,15
1499,29,25,54
1500,2,13,15
1501,2,1,3
1502,0,17,17
1503,2,2,4
1504,2,5,7
1505,25,54,79
1506,39,49,88
1507,22,92,114
1508,16,86,102
1509,5,4,9
1510,21,99,120
1511,23,113,136
1512,3,23,26
1513,1,92,93
1514,16,1,17
1515,13,9,22
1516,16,7,23
1517,15,84,99
1518,30,28,58
1519,17,102,119
1520,7,101,108
1521,14,69,83
1522,29,61,90
1523,1,114,115
1524,13,10,23
1525,22,51,73
1526,3,11,14
1527,28,34,62
1528,4,11,15
1529,3,11,14
1530,8,1,9
1531,3,16,19
1532,3,2,5
1533,1,1,2
1534,1,26,27
1535,14,4,18
1536,2,73,75
1537,2,9,11
1538,2,3,5
1539,8,47,55
1540,12,79,91
1541,7,50,57
1542,19,25,44
1543,14,20,34
1544,12,46,58
1545,15,64,79
1546,17,45,62
1547,13,19,32
1548,13,21,34
1549,4,28,32
1550,1,63,64
1551,14,1,15
1552,16,41,57
1553,10,20,30
1554,16,44,60
1555,14,23,37
1556,3,43,46
1557,1,64,65
1558,12,2,14
1559,4,13,17
1560,5,9,14
1561,15,25,40
1562,17,84,101
1563,1,1,2
1564,2,18,20
1565,19,35,54
1566,1,1,2
1567,10,103,113
1568,15,29,44
1569,1,1,2
1570,6,1,7
1571,3,7,10
1572,1,48,49
1573,15,14,29
1574,15,31,46
1575,10,24,34
1576,28,142,170
1577,16,31,47
1578,4,4,8
1579,15,71,86
1580,1,73,74
1581,0,1,1
1582,12,0,12
1583,1,21,22
1584,8,25,33
1585,12,94,106
1586,1,101,102
1587,19,4,23
1588,2,23,25
1589,5,18,23
1590,15,31,46
1591,1,67,68
1592,13,0,13
1593,31,127,158
1594,12,81,93
1595,25,43,68
1596,5,15,20
1597,12,2,14
1598,2,3,5
1599,1,41,42
1600,13,9,22
1601,21,2,23
1602,1,45,46
1603,33,17,50
1604,2,2,4
1605,2,10,12
1606,1,1,2
1607,2,2,4
1608,4,4,8
1609,1,1,2
1610,2,1,3
1611,1,10,11
1612,1,9,10
1613,1,1,2
1614,2,2,4
1615,3,2,5
1616,3,2,5
1617,1,41,42
1618,1,1,2
1619,1,1,2
1620,1,1,2
1621,1,1,2
1622,0,1,1
1623,2,1,3
1624,1,1,2
1625,2,2,4
1626,2,2,4
1627,1,1,2
1628,1,1,2
1629,2,10,12
1630,1,1,2
1631,2,2,4
1632,2,1,3
1633,1,1,2
1634,1,1,2
1635,3,3,6
1636,2,2,4
1637,0,1,1
1638,2,1,3
1639,3,2,5
1640,2,10,12
1641,1,4,5
1642,1,1,2
1643,20,20,40
1644,1,35,36
1645,25,23,48
1646,1,1,2
1647,3,1,4
1648,1,1,2
1649,1,1,2
1650,1,6,7
1651,1,12,13
1652,2,2,4
1653,1,1,2
1654,51,127,178
1655,1,56,57
1656,17,28,45
1657,6,22,28
1658,4,3,7
1659,5,20,25
1660,14,28,42
1661,1,1,2
